2021-01-13 13:59:58.681813 (MainThread): Running with dbt=0.18.1
2021-01-13 13:59:58.888816 (MainThread): running dbt with arguments Namespace(cls=<class 'dbt.task.compile.CompileTask'>, debug=False, defer=None, exclude=None, full_refresh=False, log_cache_events=False, log_format='default', models=None, parse_only=False, partial_parse=None, profile=None, profiles_dir='D:\\Users\\sandugul\\.dbt', project_dir=None, record_timing_info=None, rpc_method='compile', selector_name=None, single_threaded=False, state=None, strict=False, target='uat_fds_nplus', test_new_parser=False, threads=None, use_cache=True, use_colors=None, vars='{}', version_check=True, warn_error=False, which='compile', write_json=True)
2021-01-13 13:59:58.889789 (MainThread): Tracking: tracking
2021-01-13 13:59:58.890816 (MainThread): Sending event: {'category': 'dbt', 'action': 'invocation', 'label': 'start', 'context': [<snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x00000236763B1640>, <snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x0000023676885D90>, <snowplow_tracker.self_describing_json.SelfDescribingJson object at 0x0000023676885190>]}
2021-01-13 13:59:58.936802 (MainThread): Partial parsing not enabled
2021-01-13 13:59:58.937821 (MainThread): Parsing macros\get_custom_schema.sql
2021-01-13 13:59:58.940823 (MainThread): Parsing macros\adapters.sql
2021-01-13 13:59:59.020821 (MainThread): Parsing macros\catalog.sql
2021-01-13 13:59:59.038817 (MainThread): Parsing macros\relations.sql
2021-01-13 13:59:59.039820 (MainThread): Parsing macros\materializations\snapshot_merge.sql
2021-01-13 13:59:59.042819 (MainThread): Parsing macros\adapters.sql
2021-01-13 13:59:59.071822 (MainThread): Parsing macros\catalog.sql
2021-01-13 13:59:59.074819 (MainThread): Parsing macros\relations.sql
2021-01-13 13:59:59.077819 (MainThread): Parsing macros\materializations\snapshot_merge.sql
2021-01-13 13:59:59.085790 (MainThread): Parsing macros\core.sql
2021-01-13 13:59:59.091819 (MainThread): Parsing macros\adapters\common.sql
2021-01-13 13:59:59.152822 (MainThread): Parsing macros\etc\datetime.sql
2021-01-13 13:59:59.165819 (MainThread): Parsing macros\etc\get_custom_alias.sql
2021-01-13 13:59:59.166828 (MainThread): Parsing macros\etc\get_custom_database.sql
2021-01-13 13:59:59.169835 (MainThread): Parsing macros\etc\get_custom_schema.sql
2021-01-13 13:59:59.172823 (MainThread): Parsing macros\etc\is_incremental.sql
2021-01-13 13:59:59.175821 (MainThread): Parsing macros\etc\query.sql
2021-01-13 13:59:59.177804 (MainThread): Parsing macros\materializations\helpers.sql
2021-01-13 13:59:59.191822 (MainThread): Parsing macros\materializations\common\merge.sql
2021-01-13 13:59:59.210822 (MainThread): Parsing macros\materializations\incremental\helpers.sql
2021-01-13 13:59:59.213839 (MainThread): Parsing macros\materializations\incremental\incremental.sql
2021-01-13 13:59:59.223836 (MainThread): Parsing macros\materializations\seed\seed.sql
2021-01-13 13:59:59.252821 (MainThread): Parsing macros\materializations\snapshot\snapshot.sql
2021-01-13 13:59:59.290821 (MainThread): Parsing macros\materializations\snapshot\snapshot_merge.sql
2021-01-13 13:59:59.293849 (MainThread): Parsing macros\materializations\snapshot\strategies.sql
2021-01-13 13:59:59.317822 (MainThread): Parsing macros\materializations\table\table.sql
2021-01-13 13:59:59.326823 (MainThread): Parsing macros\materializations\view\create_or_replace_view.sql
2021-01-13 13:59:59.333823 (MainThread): Parsing macros\materializations\view\view.sql
2021-01-13 13:59:59.343822 (MainThread): Parsing macros\schema_tests\accepted_values.sql
2021-01-13 13:59:59.347824 (MainThread): Parsing macros\schema_tests\not_null.sql
2021-01-13 13:59:59.350823 (MainThread): Parsing macros\schema_tests\relationships.sql
2021-01-13 13:59:59.353823 (MainThread): Parsing macros\schema_tests\unique.sql
2021-01-13 13:59:59.364822 (MainThread): Partial parsing not enabled
2021-01-13 13:59:59.448823 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.aggr_cp_weekly_consumption_by_platform".
2021-01-13 13:59:59.501825 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_daily_followership_by_platform_digitalsnapshot".
2021-01-13 13:59:59.527830 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_daily_int_kpi_ranking_dotcom".
2021-01-13 13:59:59.552830 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_daily_int_kpi_ranking_network".
2021-01-13 13:59:59.579826 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_daily_int_kpi_ranking_tv".
2021-01-13 13:59:59.604827 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_daily_int_kpi_ranking_youtube".
2021-01-13 13:59:59.639825 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_daily_social_followership".
2021-01-13 13:59:59.671830 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_monthly_global_consumption_by_platform".
2021-01-13 13:59:59.690811 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_monthly_global_followership_by_platform".
2021-01-13 13:59:59.716811 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_monthly_social_overview".
2021-01-13 13:59:59.765814 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_weekly_consolidated_kpi".
2021-01-13 13:59:59.787816 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.rpt_cp_weekly_social_followership".
2021-01-13 13:59:59.814812 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_country_population".
2021-01-13 13:59:59.832812 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_china_followers_gain".
2021-01-13 13:59:59.852816 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_china_social_followers".
2021-01-13 13:59:59.871816 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_country_population".
2021-01-13 13:59:59.884816 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_fb_followers".
2021-01-13 13:59:59.911812 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_fb_followers_gain".
2021-01-13 13:59:59.936815 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_ig_followers".
2021-01-13 13:59:59.961815 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_ig_followers_gain".
2021-01-13 13:59:59.987815 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_monthly_app_platform".
2021-01-13 14:00:00.007813 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_monthly_app_platform_view_hrs".
2021-01-13 14:00:00.025778 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_monthly_app_platform_visit_pageview".
2021-01-13 14:00:00.042817 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_monthly_com_platform".
2021-01-13 14:00:00.058772 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_monthly_com_platform_view_hrs".
2021-01-13 14:00:00.076815 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_monthly_com_platform_visit_pageview".
2021-01-13 14:00:00.093816 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_monthly_dotcom".
2021-01-13 14:00:00.112781 (MainThread): Acquiring new redshift connection "model.analytics_engineering_marts.intm_cp_monthly_dotcom_combined".
